Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm,league_strength
22231,Thiago Maia,27,Brazil,False,Flamengo,Midfielder,24.0,1545.0,44.0,10.0,1120.0,3.0,6.0,16.0,,9.0,6.0,30.0,6.0,21.0,41.0,77.0,153.0,,0.0,0.0,,https://media.api-sports.io/football/players/22231.png,https://media.api-sports.io/football/teams/127.png,6.868181,6.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/22231.png,https://media.api-sports.io/football/teams/127.png,Serie A,64.0,179.0,94
41368,Tabata,27,Brazil,False,Palmeiras,Attacker,13.0,463.0,8.0,6.0,140.0,,3.0,17.0,,5.0,7.0,8.0,1.0,2.0,7.0,22.0,63.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/41368.png,https://media.api-sports.io/football/teams/121.png,6.523076,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/41368.png,https://media.api-sports.io/football/teams/121.png,Serie A,72.0,175.0,94
44304,Maicon,36,Brazil,False,Santos,Defender,23.0,1921.0,37.0,8.0,949.0,4.0,11.0,4.0,,3.0,7.0,7.0,22.0,26.0,27.0,94.0,157.0,2.0,0.0,0.0,,https://media.api-sports.io/football/players/44304.png,https://media.api-sports.io/football/teams/128.png,7.109523,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/44304.png,https://media.api-sports.io/football/teams/128.png,Serie A,78.0,190.0,94
70314,Wesley,25,Brazil,False,Palmeiras,Attacker,19.0,641.0,6.0,8.0,169.0,7.0,20.0,36.0,,14.0,20.0,8.0,,3.0,9.0,57.0,110.0,1.0,1.0,0.0,,https://media.api-sports.io/football/players/70314.png,https://media.api-sports.io/football/teams/121.png,6.636842,2.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/70314.png,https://media.api-sports.io/football/teams/121.png,Serie A,67.0,178.0,94
133196,Rômulo,24,Brazil,False,Juventude,Midfielder,4.0,169.0,10.0,2.0,67.0,1.0,1.0,3.0,,1.0,2.0,1.0,3.0,3.0,3.0,9.0,16.0,,1.0,0.0,,https://media.api-sports.io/football/players/133196.png,https://media.api-sports.io/football/teams/152.png,6.875000,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/133196.png,https://media.api-sports.io/football/teams/152.png,Serie A,,,94
133910,Paulo Henrique,28,Brazil,False,Juventude,Defender,26.0,1502.0,13.0,19.0,379.0,4.0,7.0,68.0,,38.0,12.0,29.0,,9.0,42.0,106.0,214.0,1.0,2.0,0.0,,https://media.api-sports.io/football/players/133910.png,https://media.api-sports.io/football/teams/152.png,6.776190,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/133910.png,https://media.api-sports.io/football/teams/152.png,Serie A,74.0,175.0,94
197017,Matheus Mendes,25,Brazil,False,Atletico-MG,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/197017.png,https://media.api-sports.io/football/teams/1062.png,,0.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/197017.png,https://media.api-sports.io/football/teams/1062.png,Serie A,89.0,190.0,94
306261,Adson,24,Brazil,False,Corinthians,Midfielder,25.0,1239.0,19.0,13.0,455.0,5.0,12.0,57.0,,34.0,12.0,24.0,,7.0,22.0,73.0,161.0,,3.0,0.0,,https://media.api-sports.io/football/players/306261.png,https://media.api-sports.io/football/teams/131.png,6.820000,2.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/306261.png,https://media.api-sports.io/football/teams/131.png,Serie A,65.0,168.0,94
311275,Gabriel Delfim,22,Brazil,False,Atletico-MG,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/311275.png,https://media.api-sports.io/football/teams/1062.png,,0.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/311275.png,https://media.api-sports.io/football/teams/1062.png,Serie A,91.0,189.0,94
2458,J. Hurtado,24,Venezuela,False,RB Bragantino,Attacker,13.0,491.0,6.0,7.0,71.0,3.0,10.0,5.0,,1.0,4.0,19.0,,3.0,4.0,16.0,65.0,,0.0,0.0,,https://media.api-sports.io/football/players/2458.png,https://media.api-sports.io/football/teams/794.png,6.454545,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/2458.png,https://media.api-sports.io/football/teams/794.png,Serie A,71.0,181.0,94
