Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm
26243,N. Schlotterbeck,25,Germany,False,Borussia Dortmund,Defender,33.0,2861.0,71.0,16.0,2656.0,6.0,20.0,15.0,,8.0,32.0,17.0,25.0,45.0,70.0,167.0,260.0,1.0,2.0,0.0,,https://media.api-sports.io/football/players/26243.png,https://media.api-sports.io/football/teams/165.png,7.296969,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/26243.png,https://media.api-sports.io/football/teams/165.png,Bundesliga,86.0,191.0
26292,A. Meyer,33,Germany,False,Borussia Dortmund,Goalkeeper,8.0,694.0,,,336.0,,,1.0,,1.0,,,,,1.0,2.0,2.0,,0.0,9.0,19.0,https://media.api-sports.io/football/players/26292.png,https://media.api-sports.io/football/teams/165.png,7.050000,0.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/26292.png,https://media.api-sports.io/football/teams/165.png,Bundesliga,90.0,195.0
129072,Y. Vertessen,23,Belgium,False,Union Berlin,Attacker,13.0,594.0,,7.0,134.0,9.0,21.0,31.0,,14.0,11.0,8.0,,1.0,3.0,32.0,88.0,2.0,3.0,0.0,,https://media.api-sports.io/football/players/129072.png,https://media.api-sports.io/football/teams/182.png,6.800000,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/129072.png,https://media.api-sports.io/football/teams/182.png,Bundesliga,71.0,176.0
158644,M. Beier,22,Germany,False,1899 Hoffenheim,Attacker,33.0,2434.0,,24.0,501.0,39.0,65.0,77.0,,32.0,32.0,21.0,1.0,10.0,20.0,105.0,255.0,1.0,16.0,0.0,,https://media.api-sports.io/football/players/158644.png,https://media.api-sports.io/football/teams/167.png,7.084848,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/158644.png,https://media.api-sports.io/football/teams/167.png,Bundesliga,72.0,183.0
161921,G. Reyna,22,USA,False,Borussia Dortmund,Midfielder,11.0,271.0,,7.0,187.0,2.0,4.0,8.0,,5.0,5.0,2.0,1.0,2.0,9.0,23.0,43.0,,0.0,0.0,,https://media.api-sports.io/football/players/161921.png,https://media.api-sports.io/football/teams/165.png,6.900000,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/161921.png,https://media.api-sports.io/football/teams/165.png,Bundesliga,79.0,185.0
162946,B. Hollerbach,23,Germany,False,Union Berlin,Attacker,28.0,1283.0,,14.0,347.0,10.0,18.0,70.0,,29.0,20.0,29.0,,4.0,17.0,84.0,255.0,0.0,5.0,0.0,,https://media.api-sports.io/football/players/162946.png,https://media.api-sports.io/football/teams/182.png,6.614285,2.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/162946.png,https://media.api-sports.io/football/teams/182.png,Bundesliga,81.0,181.0
327831,A. Kemlein,20,Germany,False,Union Berlin,Midfielder,2.0,27.0,,,8.0,,1.0,1.0,,1.0,,2.0,,,,1.0,8.0,,0.0,0.0,,https://media.api-sports.io/football/players/327831.png,https://media.api-sports.io/football/teams/182.png,6.200000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/327831.png,https://media.api-sports.io/football/teams/182.png,Bundesliga,78.0,185.0
368230,J. Duranville,18,Belgium,False,Borussia Dortmund,Attacker,2.0,10.0,,,4.0,,,5.0,,3.0,,3.0,,,1.0,5.0,13.0,,0.0,0.0,,https://media.api-sports.io/football/players/368230.png,https://media.api-sports.io/football/teams/165.png,6.250000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/368230.png,https://media.api-sports.io/football/teams/165.png,Bundesliga,59.0,170.0
376,Diogo Leite,25,Portugal,False,Union Berlin,Defender,32.0,2708.0,,6.0,1554.0,4.0,9.0,11.0,,6.0,31.0,40.0,22.0,46.0,52.0,160.0,279.0,0.0,0.0,0.0,,https://media.api-sports.io/football/players/376.png,https://media.api-sports.io/football/teams/182.png,6.862500,6.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/376.png,https://media.api-sports.io/football/teams/182.png,Bundesliga,70.0,188.0
512,Jeong Wooyeong,25,Korea Republic,False,VfB Stuttgart,Midfielder,26.0,618.0,,9.0,316.0,8.0,14.0,15.0,,4.0,9.0,4.0,,7.0,15.0,31.0,66.0,3.0,2.0,0.0,,https://media.api-sports.io/football/players/512.png,https://media.api-sports.io/football/teams/172.png,6.752173,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/512.png,https://media.api-sports.io/football/teams/172.png,Bundesliga,71.0,179.0
664,L. Tousart,27,France,False,Union Berlin,Midfielder,23.0,1575.0,,7.0,510.0,6.0,19.0,21.0,,10.0,8.0,31.0,9.0,25.0,35.0,91.0,205.0,0.0,0.0,0.0,,https://media.api-sports.io/football/players/664.png,https://media.api-sports.io/football/teams/182.png,6.700000,5.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/664.png,https://media.api-sports.io/football/teams/182.png,Bundesliga,83.0,185.0
713,K. Vogt,33,Germany,False,Union Berlin,Defender,16.0,1326.0,50.0,2.0,925.0,1.0,1.0,6.0,,5.0,9.0,11.0,13.0,9.0,14.0,35.0,58.0,,0.0,0.0,,https://media.api-sports.io/football/players/713.png,https://media.api-sports.io/football/teams/182.png,6.875000,5.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/713.png,https://media.api-sports.io/football/teams/182.png,Bundesliga,87.0,194.0
