Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm
407,B. Stambouli,34,France,False,Reims,Midfielder,7.0,285.0,,3.0,128.0,,,1.0,,1.0,,7.0,1.0,2.0,9.0,18.0,34.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/407.png,https://media.api-sports.io/football/teams/93.png,6.514285,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/407.png,https://media.api-sports.io/football/teams/93.png,Ligue 1,82.0,180.0
20530,A. Jallow,26,Gambia,False,Metz,Midfielder,17.0,920.0,,13.0,303.0,7.0,11.0,39.0,,17.0,15.0,9.0,,8.0,9.0,46.0,111.0,2.0,3.0,0.0,,https://media.api-sports.io/football/players/20530.png,https://media.api-sports.io/football/teams/112.png,6.800000,1.0,0.0,0.0,False,,,1.0,0.0,,https://media.api-sports.io/football/players/20530.png,https://media.api-sports.io/football/teams/112.png,Ligue 1,62.0,166.0
21630,Y. Armougom,26,France,False,Clermont Foot,Defender,5.0,231.0,,5.0,101.0,,1.0,2.0,,1.0,3.0,1.0,,1.0,3.0,9.0,15.0,,0.0,0.0,,https://media.api-sports.io/football/players/21630.png,https://media.api-sports.io/football/teams/99.png,6.600000,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/21630.png,https://media.api-sports.io/football/teams/99.png,Ligue 1,77.0,175.0
174744,L. Mouyokolo,23,France,False,Lorient,Defender,1.0,90.0,48.0,,55.0,,,,,,,1.0,,,4.0,4.0,5.0,,0.0,0.0,,https://media.api-sports.io/football/players/174744.png,https://media.api-sports.io/football/teams/97.png,6.200000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/174744.png,https://media.api-sports.io/football/teams/97.png,Ligue 1,85.0,194.0
190985,S. Elisor,25,France,False,Metz,Attacker,14.0,767.0,,10.0,153.0,7.0,11.0,17.0,,5.0,16.0,17.0,1.0,,9.0,65.0,167.0,,1.0,0.0,,https://media.api-sports.io/football/players/190985.png,https://media.api-sports.io/football/teams/112.png,6.692857,1.0,0.0,0.0,False,,,0.0,1.0,,https://media.api-sports.io/football/players/190985.png,https://media.api-sports.io/football/teams/112.png,Ligue 1,75.0,186.0
198388,S. Lega,21,France,False,Lyon,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/198388.png,https://media.api-sports.io/football/teams/80.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/198388.png,https://media.api-sports.io/football/teams/80.png,Ligue 1,72.0,190.0
198399,C. Mabanza,21,Congo DR,False,Lorient,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/198399.png,https://media.api-sports.io/football/teams/97.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/198399.png,https://media.api-sports.io/football/teams/97.png,Ligue 1,,
289534,T. Trinker,23,France,False,Nice,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/289534.png,https://media.api-sports.io/football/teams/84.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/289534.png,https://media.api-sports.io/football/teams/84.png,Ligue 1,47.0,163.0
326092,T. Allix,18,France,False,Montpellier,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/326092.png,https://media.api-sports.io/football/teams/82.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/326092.png,https://media.api-sports.io/football/teams/82.png,Ligue 1,71.0,183.0
327560,T. Borne,22,France,False,Clermont Foot,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/327560.png,https://media.api-sports.io/football/teams/99.png,,0.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/327560.png,https://media.api-sports.io/football/teams/99.png,Ligue 1,74.0,191.0
