Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm
50081,David Braz,37,Brazil,False,Fluminense,Defender,18.0,861.0,,3.0,616.0,3.0,6.0,10.0,,10.0,6.0,11.0,6.0,7.0,9.0,52.0,94.0,,0.0,0.0,,https://media.api-sports.io/football/players/50081.png,https://media.api-sports.io/football/teams/124.png,6.770588,2.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/50081.png,https://media.api-sports.io/football/teams/124.png,Serie A,86.0,188.0
54230,Reynaldo,27,Brazil,False,Coritiba,Defender,6.0,240.0,,,76.0,,,,,,2.0,7.0,2.0,7.0,4.0,12.0,26.0,,0.0,0.0,,https://media.api-sports.io/football/players/54230.png,https://media.api-sports.io/football/teams/147.png,6.283333,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/54230.png,https://media.api-sports.io/football/teams/147.png,Serie A,81.0,186.0
77703,Rafael Gava,31,Brazil,False,Cuiaba,Midfielder,1.0,17.0,,2.0,5.0,,,,,,1.0,1.0,,,,1.0,2.0,,0.0,0.0,,https://media.api-sports.io/football/players/77703.png,https://media.api-sports.io/football/teams/1193.png,6.900000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/77703.png,https://media.api-sports.io/football/teams/1193.png,Serie A,71.0,178.0
80171,Mateus Gonçalves,30,Brazil,False,America Mineiro,Attacker,3.0,62.0,,,23.0,,,4.0,,2.0,2.0,,,,2.0,8.0,18.0,,0.0,0.0,,https://media.api-sports.io/football/players/80171.png,https://media.api-sports.io/football/teams/125.png,6.433333,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/80171.png,https://media.api-sports.io/football/teams/125.png,Serie A,66.0,172.0
159920,Dieguinho,29,Brazil,False,Goias,Attacker,15.0,1081.0,,14.0,454.0,,4.0,33.0,,16.0,37.0,11.0,1.0,13.0,24.0,84.0,158.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/159920.png,https://media.api-sports.io/football/teams/151.png,6.686666,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/159920.png,https://media.api-sports.io/football/teams/151.png,Serie A,72.0,175.0
197513,T. Borbas,22,Uruguay,False,RB Bragantino,Attacker,33.0,1413.0,,17.0,321.0,26.0,41.0,18.0,,10.0,12.0,39.0,,4.0,11.0,74.0,211.0,2.0,9.0,0.0,,https://media.api-sports.io/football/players/197513.png,https://media.api-sports.io/football/teams/794.png,6.756250,7.0,1.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/197513.png,https://media.api-sports.io/football/teams/794.png,Serie A,69.0,181.0
238354,Breno Herculano,25,Brazil,False,Goias,Attacker,3.0,76.0,,1.0,13.0,,3.0,1.0,,,1.0,3.0,,,,4.0,14.0,,0.0,0.0,,https://media.api-sports.io/football/players/238354.png,https://media.api-sports.io/football/teams/151.png,6.633333,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/238354.png,https://media.api-sports.io/football/teams/151.png,Serie A,81.0,187.0
266389,Ian Luccas,21,Brazil,False,Cruzeiro,Midfielder,14.0,480.0,,5.0,121.0,2.0,3.0,9.0,,2.0,5.0,14.0,,6.0,14.0,30.0,75.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/266389.png,https://media.api-sports.io/football/teams/135.png,6.508333,2.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/266389.png,https://media.api-sports.io/football/teams/135.png,Serie A,,
297513,Nathan Melo,23,Brazil,False,Goias,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/297513.png,https://media.api-sports.io/football/teams/151.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/297513.png,https://media.api-sports.io/football/teams/151.png,Serie A,85.0,186.0
350927,H. Mosquera,23,Colombia,False,RB Bragantino,Attacker,21.0,1059.0,,24.0,326.0,7.0,15.0,97.0,,53.0,20.0,29.0,4.0,1.0,16.0,93.0,209.0,2.0,2.0,0.0,,https://media.api-sports.io/football/players/350927.png,https://media.api-sports.io/football/teams/794.png,6.704761,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/350927.png,https://media.api-sports.io/football/teams/794.png,Serie A,,
