Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Weight_kg,Height_cm
1062,A. Nedyalkov,30.0,Bulgaria,False,Ludogorets,Defender,2.0,180.0,49.0,,55.0,0.0,2.0,1.0,,1.0,0.0,2.0,0.0,2.0,0.0,7.0,13.0,0.0,0.0,0.0,,https://media-4.api-sports.io/football/players/1062.png,https://media-4.api-sports.io/football/teams/566.png,7.300000,1.0,0.0,0.0,False,70.0,180.0
2759,S. Sluga,30.0,Croatia,False,Ludogorets,Goalkeeper,12.0,1080.0,16.0,,41.0,0.0,,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,3.0,https://media-4.api-sports.io/football/players/2759.png,https://media-4.api-sports.io/football/teams/566.png,7.150000,0.0,0.0,0.0,False,84.0,190.0
8599,B. Dione,26.0,Belgium,False,Lokomotiv Plovdiv,Attacker,14.0,988.0,19.0,3.0,49.0,0.0,2.0,18.0,,11.0,4.0,1.0,0.0,3.0,0.0,20.0,43.0,0.0,3.0,0.0,,https://media-4.api-sports.io/football/players/8599.png,https://media-4.api-sports.io/football/teams/858.png,7.300000,0.0,0.0,0.0,False,,167.0
10325,Ewandro,27.0,Brazil,False,Lokomotiv Plovdiv,Attacker,15.0,1155.0,37.0,,88.0,2.0,7.0,5.0,,4.0,1.0,4.0,0.0,4.0,0.0,18.0,34.0,0.0,4.0,0.0,,https://media-4.api-sports.io/football/players/10325.png,https://media-4.api-sports.io/football/teams/858.png,6.900000,6.0,0.0,1.0,False,67.0,176.0
10360,Giovanny,26.0,Brazil,False,Lokomotiv Plovdiv,Attacker,15.0,1238.0,48.0,7.0,123.0,1.0,5.0,12.0,,9.0,2.0,0.0,0.0,,0.0,12.0,28.0,0.0,7.0,0.0,,https://media-4.api-sports.io/football/players/10360.png,https://media-4.api-sports.io/football/teams/858.png,8.300000,1.0,0.0,0.0,False,69.0,175.0
10677,K. Peshov,26.0,Bulgaria,False,Lokomotiv Plovdiv,Midfielder,8.0,355.0,38.0,1.0,45.0,0.0,,1.0,,1.0,3.0,2.0,0.0,3.0,0.0,7.0,14.0,0.0,0.0,0.0,,https://media-4.api-sports.io/football/players/10677.png,https://media-4.api-sports.io/football/teams/858.png,,2.0,0.0,0.0,False,,
11273,D. Iliev,35.0,Bulgaria,False,Lokomotiv Plovdiv,Attacker,14.0,1024.0,44.0,3.0,103.0,0.0,3.0,3.0,,2.0,1.0,1.0,0.0,1.0,0.0,8.0,27.0,1.0,1.0,0.0,,https://media-4.api-sports.io/football/players/11273.png,https://media-4.api-sports.io/football/teams/858.png,6.900000,2.0,0.0,0.0,False,82.0,185.0
38110,S. Padt,33.0,Netherlands,False,Ludogorets,Goalkeeper,2.0,180.0,15.0,,21.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,https://media-4.api-sports.io/football/players/38110.png,https://media-4.api-sports.io/football/teams/566.png,7.300000,1.0,0.0,0.0,False,85.0,192.0
48040,A. Witry,27.0,Norway,False,Ludogorets,Defender,12.0,1001.0,50.0,2.0,173.0,3.0,4.0,2.0,,2.0,0.0,2.0,0.0,8.0,0.0,6.0,27.0,0.0,3.0,0.0,,https://media-4.api-sports.io/football/players/48040.png,https://media-4.api-sports.io/football/teams/566.png,7.833333,2.0,0.0,0.0,False,67.0,178.0
119851,H. Ivanov,23.0,Bulgaria,False,Lokomotiv Plovdiv,Midfielder,15.0,1098.0,25.0,,64.0,1.0,1.0,2.0,,1.0,1.0,3.0,0.0,2.0,0.0,4.0,18.0,0.0,0.0,0.0,,https://media-4.api-sports.io/football/players/119851.png,https://media-4.api-sports.io/football/teams/858.png,6.900000,1.0,0.0,0.0,False,,
126710,G. Karakashev,24.0,Bulgaria,False,Lokomotiv Plovdiv,Midfielder,10.0,98.0,2.0,,6.0,0.0,,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,https://media-4.api-sports.io/football/players/126710.png,https://media-4.api-sports.io/football/teams/858.png,6.900000,1.0,0.0,0.0,False,,
