Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm
46658,Rubén García,31,Spain,False,Osasuna,Midfielder,30.0,1549.0,,31.0,665.0,10.0,21.0,28.0,,18.0,27.0,24.0,3.0,12.0,31.0,106.0,217.0,2.0,3.0,0.0,,https://media.api-sports.io/football/players/46658.png,https://media.api-sports.io/football/teams/727.png,6.993103,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/46658.png,https://media.api-sports.io/football/teams/727.png,La Liga,72.0,171.0
46660,Javi Martínez,25,Spain,False,Osasuna,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/46660.png,https://media.api-sports.io/football/teams/727.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/46660.png,https://media.api-sports.io/football/teams/727.png,La Liga,68.0,180.0
46662,Moncayola,26,Spain,False,Osasuna,Midfielder,33.0,1802.0,,21.0,925.0,5.0,13.0,12.0,,6.0,8.0,24.0,5.0,15.0,27.0,56.0,136.0,3.0,1.0,0.0,,https://media.api-sports.io/football/players/46662.png,https://media.api-sports.io/football/teams/727.png,6.772727,2.0,1.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/46662.png,https://media.api-sports.io/football/teams/727.png,La Liga,86.0,189.0
46667,Kike Barja,27,Spain,False,Osasuna,Attacker,16.0,293.0,,5.0,91.0,2.0,3.0,19.0,,11.0,4.0,8.0,1.0,2.0,6.0,24.0,57.0,,0.0,0.0,,https://media.api-sports.io/football/players/46667.png,https://media.api-sports.io/football/teams/727.png,6.560000,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/46667.png,https://media.api-sports.io/football/teams/727.png,La Liga,69.0,178.0
46746,A. Budimir,33,Croatia,False,Osasuna,Attacker,33.0,2448.0,,12.0,427.0,35.0,60.0,31.0,,10.0,26.0,40.0,4.0,5.0,21.0,216.0,431.0,2.0,17.0,0.0,,https://media.api-sports.io/football/players/46746.png,https://media.api-sports.io/football/teams/727.png,7.196969,4.0,0.0,0.0,False,,,3.0,1.0,,https://media.api-sports.io/football/players/46746.png,https://media.api-sports.io/football/teams/727.png,La Liga,75.0,190.0
47270,Unai Simón,27,Spain,False,Athletic Club,Goalkeeper,36.0,3184.0,,1.0,1079.0,,,,,,8.0,,,1.0,1.0,21.0,23.0,0.0,0.0,33.0,95.0,https://media.api-sports.io/football/players/47270.png,https://media.api-sports.io/football/teams/531.png,7.108333,2.0,0.0,0.0,False,,,0.0,0.0,2.0,https://media.api-sports.io/football/players/47270.png,https://media.api-sports.io/football/teams/531.png,La Liga,88.0,190.0
47278,Dani Vivian,25,Spain,False,Athletic Club,Defender,33.0,2878.0,43.0,6.0,1697.0,1.0,7.0,9.0,,5.0,26.0,37.0,25.0,31.0,42.0,107.0,213.0,0.0,0.0,0.0,,https://media.api-sports.io/football/players/47278.png,https://media.api-sports.io/football/teams/531.png,6.927272,6.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/47278.png,https://media.api-sports.io/football/teams/531.png,La Liga,78.0,183.0
47299,Andoni Gorosabel,28,Spain,False,Alaves,Defender,36.0,2864.0,,15.0,957.0,6.0,9.0,42.0,,25.0,41.0,29.0,8.0,28.0,60.0,151.0,315.0,0.0,1.0,0.0,,https://media.api-sports.io/football/players/47299.png,https://media.api-sports.io/football/teams/542.png,6.844117,6.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/47299.png,https://media.api-sports.io/football/teams/542.png,La Liga,70.0,174.0
47391,Rubén Peña,33,Spain,False,Osasuna,Defender,29.0,2105.0,,28.0,691.0,5.0,11.0,65.0,,34.0,24.0,28.0,8.0,29.0,46.0,119.0,280.0,2.0,0.0,0.0,,https://media.api-sports.io/football/players/47391.png,https://media.api-sports.io/football/teams/727.png,6.782758,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/47391.png,https://media.api-sports.io/football/teams/727.png,La Liga,65.0,170.0
47419,José Arnáiz,29,Spain,False,Osasuna,Attacker,26.0,921.0,,14.0,270.0,9.0,20.0,26.0,,10.0,19.0,8.0,2.0,3.0,14.0,54.0,129.0,1.0,2.0,0.0,,https://media.api-sports.io/football/players/47419.png,https://media.api-sports.io/football/teams/727.png,6.786956,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/47419.png,https://media.api-sports.io/football/teams/727.png,La Liga,70.0,175.0
47533,Catena,30,Spain,False,Osasuna,Defender,30.0,2536.0,,6.0,1329.0,5.0,17.0,7.0,,3.0,14.0,47.0,15.0,17.0,36.0,113.0,211.0,3.0,1.0,0.0,,https://media.api-sports.io/football/players/47533.png,https://media.api-sports.io/football/teams/727.png,6.776666,8.0,1.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/47533.png,https://media.api-sports.io/football/teams/727.png,La Liga,82.0,194.0
47574,Moi Gómez,30,Spain,False,Osasuna,Midfielder,28.0,2011.0,,24.0,1110.0,8.0,12.0,28.0,,17.0,30.0,29.0,1.0,11.0,30.0,90.0,176.0,0.0,3.0,0.0,,https://media.api-sports.io/football/players/47574.png,https://media.api-sports.io/football/teams/727.png,6.892857,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/47574.png,https://media.api-sports.io/football/teams/727.png,La Liga,71.0,176.0
67939,Aimar Oroz,23,Spain,False,Osasuna,Midfielder,33.0,2350.0,,26.0,1008.0,6.0,18.0,42.0,,25.0,46.0,39.0,2.0,16.0,43.0,131.0,293.0,1.0,2.0,0.0,,https://media.api-sports.io/football/players/67939.png,https://media.api-sports.io/football/teams/727.png,6.851515,3.0,0.0,0.0,False,,,1.0,0.0,,https://media.api-sports.io/football/players/67939.png,https://media.api-sports.io/football/teams/727.png,La Liga,72.0,177.0
139001,Pablo Ibáñez,26,Spain,False,Osasuna,Midfielder,33.0,1140.0,,12.0,434.0,7.0,21.0,28.0,,7.0,16.0,26.0,3.0,9.0,18.0,77.0,186.0,2.0,1.0,0.0,,https://media.api-sports.io/football/players/139001.png,https://media.api-sports.io/football/teams/727.png,6.662500,5.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/139001.png,https://media.api-sports.io/football/teams/727.png,La Liga,,179.0
146751,Raúl García,24,Spain,False,Osasuna,Attacker,35.0,1348.0,,10.0,294.0,12.0,27.0,19.0,,6.0,12.0,13.0,1.0,5.0,10.0,78.0,197.0,1.0,6.0,0.0,,https://media.api-sports.io/football/players/146751.png,https://media.api-sports.io/football/teams/727.png,6.682857,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/146751.png,https://media.api-sports.io/football/teams/727.png,La Liga,70.0,192.0
182621,Iker Muñoz,22,Spain,False,Osasuna,Midfielder,28.0,1852.0,,5.0,970.0,6.0,16.0,13.0,,4.0,55.0,37.0,5.0,11.0,32.0,147.0,248.0,0.0,4.0,0.0,,https://media.api-sports.io/football/players/182621.png,https://media.api-sports.io/football/teams/727.png,6.877777,5.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/182621.png,https://media.api-sports.io/football/teams/727.png,La Liga,69.0,180.0
183848,Julen Agirrezabala,24,Spain,False,Athletic Club,Goalkeeper,4.0,236.0,,,80.0,,,,,,,,,,,1.0,1.0,0.0,0.0,4.0,8.0,https://media.api-sports.io/football/players/183848.png,https://media.api-sports.io/football/teams/531.png,6.850000,0.0,0.0,0.0,False,,,0.0,0.0,2.0,https://media.api-sports.io/football/players/183848.png,https://media.api-sports.io/football/teams/531.png,La Liga,80.0,187.0
286639,Bryan Zaragoza,23,Spain,False,Granada CF,Attacker,21.0,1640.0,,24.0,337.0,19.0,29.0,116.0,,51.0,33.0,12.0,,3.0,17.0,105.0,217.0,2.0,6.0,0.0,,https://media.api-sports.io/football/players/286639.png,https://media.api-sports.io/football/teams/715.png,6.995238,5.0,0.0,0.0,False,,,1.0,0.0,,https://media.api-sports.io/football/players/286639.png,https://media.api-sports.io/football/teams/715.png,La Liga,61.0,164.0
312468,Á. Padilla,21,Mexico,False,Athletic Club,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/312468.png,https://media.api-sports.io/football/teams/531.png,,0.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/312468.png,https://media.api-sports.io/football/teams/531.png,La Liga,83.0,190.0
928,Dani Parejo,35,Spain,False,Villarreal,Midfielder,33.0,2587.0,48.0,34.0,1774.0,6.0,10.0,28.0,,19.0,51.0,18.0,9.0,21.0,43.0,137.0,221.0,5.0,3.0,0.0,,https://media.api-sports.io/football/players/928.png,https://media.api-sports.io/football/teams/533.png,7.133333,4.0,0.0,0.0,False,,,3.0,0.0,,https://media.api-sports.io/football/players/928.png,https://media.api-sports.io/football/teams/533.png,La Liga,74.0,182.0
1461,Denis Suárez,30,Spain,False,Villarreal,Midfielder,4.0,131.0,,3.0,89.0,,,8.0,,5.0,2.0,4.0,2.0,,,7.0,19.0,,0.0,0.0,,https://media.api-sports.io/football/players/1461.png,https://media.api-sports.io/football/teams/533.png,6.650000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/1461.png,https://media.api-sports.io/football/teams/533.png,La Liga,69.0,176.0
1702,Alfonso Pedraza,28,Spain,False,Villarreal,Midfielder,19.0,1120.0,,20.0,437.0,4.0,6.0,29.0,,10.0,17.0,14.0,7.0,12.0,25.0,58.0,109.0,3.0,1.0,0.0,,https://media.api-sports.io/football/players/1702.png,https://media.api-sports.io/football/teams/533.png,6.621052,4.0,1.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/1702.png,https://media.api-sports.io/football/teams/533.png,La Liga,73.0,184.0
1707,Gerard Moreno,32,Spain,False,Villarreal,Attacker,30.0,2231.0,,55.0,959.0,21.0,44.0,77.0,,43.0,38.0,22.0,7.0,10.0,25.0,133.0,278.0,6.0,10.0,0.0,,https://media.api-sports.io/football/players/1707.png,https://media.api-sports.io/football/teams/533.png,7.370000,0.0,0.0,0.0,False,,,2.0,1.0,,https://media.api-sports.io/football/players/1707.png,https://media.api-sports.io/football/teams/533.png,La Liga,77.0,180.0
