Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Weight_kg,Height_cm
2454,Y. Soteldo,26,Venezuela,False,Santos,Midfielder,16.0,1034.0,17.0,29.0,323.0,9.0,16.0,74.0,,44.0,43.0,4.0,,3.0,8.0,95.0,171.0,5.0,1.0,0.0,,https://media-4.api-sports.io/football/players/2454.png,https://media-4.api-sports.io/football/teams/128.png,7.046666,4.0,1.0,1.0,False,62.0,160.0
9613,Neto Moura,27,Brazil,False,Cruzeiro,Midfielder,13.0,498.0,14.0,5.0,185.0,,3.0,4.0,,4.0,1.0,8.0,,6.0,7.0,13.0,43.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/9613.png,https://media-4.api-sports.io/football/teams/135.png,6.536363,1.0,0.0,0.0,False,,176.0
9686,Zé Roberto,30,Brazil,False,Coritiba,Attacker,10.0,527.0,8.0,6.0,132.0,3.0,7.0,9.0,,4.0,19.0,19.0,1.0,1.0,6.0,50.0,110.0,1.0,1.0,0.0,,https://media-4.api-sports.io/football/players/9686.png,https://media-4.api-sports.io/football/teams/147.png,6.610000,3.0,0.0,1.0,False,84.0,184.0
10233,B. Méndez,24,Uruguay,False,Corinthians,Defender,22.0,1435.0,29.0,7.0,741.0,,4.0,3.0,,1.0,3.0,14.0,8.0,17.0,34.0,65.0,115.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/10233.png,https://media-4.api-sports.io/football/teams/131.png,6.738095,5.0,0.0,0.0,False,81.0,180.0
10499,Darlan,25,Brazil,False,Gremio,Midfielder,1.0,44.0,16.0,1.0,18.0,,,,,,,,,,2.0,2.0,6.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/10499.png,https://media-4.api-sports.io/football/teams/130.png,6.200000,1.0,0.0,0.0,False,66.0,170.0
16370,L. Realpe,22,Ecuador,False,RB Bragantino,Defender,14.0,1159.0,29.0,2.0,503.0,,2.0,5.0,,5.0,2.0,13.0,6.0,14.0,17.0,54.0,99.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/16370.png,https://media-4.api-sports.io/football/teams/794.png,6.815384,2.0,0.0,0.0,False,,
51466,J. Piquerez,25,Uruguay,False,Palmeiras,Defender,23.0,2044.0,37.0,20.0,1028.0,6.0,17.0,30.0,,10.0,20.0,12.0,6.0,26.0,38.0,91.0,169.0,4.0,3.0,0.0,,https://media-4.api-sports.io/football/players/51466.png,https://media-4.api-sports.io/football/teams/121.png,7.082608,5.0,0.0,0.0,False,81.0,184.0
133181,Ivonei,21,Brazil,False,Santos,Midfielder,1.0,2.0,2.0,,3.0,,,,,,,,,,,1.0,2.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/133181.png,https://media-4.api-sports.io/football/teams/128.png,6.300000,0.0,0.0,0.0,False,,
152617,Matheusinho,25,Brazil,False,Goias,Attacker,7.0,191.0,6.0,1.0,55.0,,1.0,10.0,,4.0,3.0,1.0,1.0,1.0,2.0,9.0,34.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/152617.png,https://media-4.api-sports.io/football/teams/151.png,6.214285,1.0,0.0,0.0,False,71.0,176.0
157040,Alejandro,21,Brazil,False,RB Bragantino,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/157040.png,https://media-4.api-sports.io/football/teams/794.png,,0.0,0.0,0.0,False,66.0,171.0
196310,Matheus Cadorini,21,Brazil,False,Coritiba,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/196310.png,https://media-4.api-sports.io/football/teams/147.png,,0.0,0.0,0.0,False,83.0,192.0
198321,Lucas Cardoso,23,Brazil,False,Cuiaba,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/198321.png,https://media-4.api-sports.io/football/teams/1193.png,,0.0,0.0,0.0,False,,
237819,Kevin,20,Brazil,False,Palmeiras,Attacker,6.0,213.0,8.0,1.0,65.0,1.0,2.0,18.0,,9.0,5.0,7.0,,3.0,5.0,20.0,42.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/237819.png,https://media-4.api-sports.io/football/teams/121.png,6.500000,2.0,0.0,0.0,False,71.0,176.0
291768,Luiz Filipe,22,Brazil,False,Goias,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/291768.png,https://media-4.api-sports.io/football/teams/151.png,,0.0,0.0,0.0,False,77.0,189.0
304071,Wesley Pomba,21,Brazil,False,Coritiba,Attacker,1.0,50.0,9.0,2.0,9.0,,,4.0,,1.0,,2.0,,,1.0,2.0,8.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/304071.png,https://media-4.api-sports.io/football/teams/147.png,6.300000,1.0,0.0,0.0,False,,
321663,Rwan Cruz,22,Brazil,False,Vasco DA Gama,Attacker,2.0,32.0,4.0,,9.0,,1.0,,,,3.0,2.0,,,1.0,5.0,13.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/321663.png,https://media-4.api-sports.io/football/teams/133.png,6.700000,0.0,0.0,0.0,False,,
330130,João Maranini,21,Brazil,False,Cuiaba,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/330130.png,https://media-4.api-sports.io/football/teams/1193.png,,0.0,0.0,0.0,False,,188.0
415634,Vinícius Balieiro,24,Brazil,False,Santos,Midfielder,3.0,27.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/415634.png,https://media-4.api-sports.io/football/teams/128.png,,0.0,0.0,0.0,False,,177.0
2439,J. Chancellor,31,Venezuela,False,Coritiba,Defender,4.0,303.0,19.0,,102.0,,1.0,,,,1.0,2.0,5.0,2.0,6.0,13.0,21.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/2439.png,https://media-4.api-sports.io/football/teams/147.png,6.475000,0.0,0.0,0.0,False,88.0,197.0
